"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"116","tt1639084","Tue Jan 26 06:07:05 2016","Tue Jan 26 06:07:05 2016","","Tallulah","Feature Film","Sian Heder","","6.8","111","2016","comedy, drama, romance","5106","2016-01-23","http://www.imdb.com/title/tt1639084/"
"117","tt2879552","Tue Jan 26 06:07:21 2016","Tue Jan 26 06:07:21 2016","","11.22.63","Mini-Series","","","8.3","60","2016","drama, mystery, sci_fi, thriller","34080","2016-02-15","http://www.imdb.com/title/tt2879552/"
"118","tt2401878","Tue Jan 26 06:07:35 2016","Tue Jan 26 06:07:35 2016","","Anomalisa","Feature Film","Duke Johnson, Charlie Kaufman","","7.3","90","2015","animation, comedy, drama, romance","32550","2015-09-04","http://www.imdb.com/title/tt2401878/"
"119","tt5225338","Tue Jan 26 06:08:01 2016","Tue Jan 26 06:08:01 2016","","The Eyes of My Mother","Feature Film","Nicolas Pesce","","7.5","76","2016","drama, horror","128","2016-01-22","http://www.imdb.com/title/tt5225338/"
"120","tt4262174","Tue Jan 26 06:08:06 2016","Tue Jan 26 06:08:06 2016","","First Girl I Loved","Feature Film","Kerem Sanga","","5.4","91","2016","drama, romance","263","2016-01-24","http://www.imdb.com/title/tt4262174/"
"121","tt3838992","Tue Jan 26 06:09:02 2016","Tue Jan 26 06:09:02 2016","","Yoga Hosers","Feature Film","Kevin Smith","","4.9","88","2016","comedy, fantasy, horror, thriller","919","2016-01-24","http://www.imdb.com/title/tt3838992/"
"122","tt5117222","Tue Jan 26 06:09:07 2016","Tue Jan 26 06:09:07 2016","","Notes on Blindness","Documentary","Pete Middleton, James Spinney","","7.4","90","2016","documentary","170","2016-01-24","http://www.imdb.com/title/tt5117222/"
"123","tt1560747","Thu Jan 28 05:48:47 2016","Thu Jan 28 05:48:47 2016","","The Master","Feature Film","Paul Thomas Anderson","","7.1","144","2012","drama","105620","2012-09-01","http://www.imdb.com/title/tt1560747/"
"124","tt0469494","Thu Jan 28 05:48:53 2016","Thu Jan 28 05:48:53 2016","","There Will Be Blood","Feature Film","Paul Thomas Anderson","","8.1","158","2007","drama","374688","2007-09-27","http://www.imdb.com/title/tt0469494/"
"125","tt0175880","Thu Jan 28 05:49:02 2016","Thu Jan 28 05:49:02 2016","","Magnolia","Feature Film","Paul Thomas Anderson","","8.0","188","1999","drama","241591","1999-12-02","http://www.imdb.com/title/tt0175880/"
"126","tt0119256","Thu Jan 28 05:49:09 2016","Thu Jan 28 05:49:09 2016","","Sydney","Feature Film","Paul Thomas Anderson","","7.3","102","1996","crime, drama","28659","1996-01-20","http://www.imdb.com/title/tt0119256/"
"127","tt4263482","Tue Feb 16 20:37:55 2016","Tue Feb 16 20:37:55 2016","","The VVitch: A New-England Folktale","Feature Film","Robert Eggers","","6.7","92","2015","horror, mystery","69193","2015-01-23","http://www.imdb.com/title/tt4263482/"
"128","tt0819714","Tue Feb 23 22:00:02 2016","Tue Feb 23 22:00:02 2016","","The Edge of Love","Feature Film","John Maybury","","6.3","110","2008","biography, drama, romance, war","13491","2008-06-18","http://www.imdb.com/title/tt0819714/"
"129","tt0821999","Tue Feb 23 22:00:06 2016","Tue Feb 23 22:00:06 2016","","A Man of Few Words","Short Film","Terence White","","7.2","12","2000","","39","2000","http://www.imdb.com/title/tt0821999/"
"130","tt0236157","Tue Feb 23 22:01:10 2016","Tue Feb 23 22:01:10 2016","","Disco Pigs","Feature Film","Kirsten Sheridan","","6.8","93","2001","crime, drama, romance","3564","2001-02","http://www.imdb.com/title/tt0236157/"
"131","tt0213847","Tue Feb 23 22:01:11 2016","Tue Feb 23 22:01:11 2016","","Malèna","Feature Film","Giuseppe Tornatore","","7.5","109","2000","comedy, drama, romance, war","66208","2000-10-27","http://www.imdb.com/title/tt0213847/"
"132","tt0048028","Tue Feb 23 22:01:13 2016","Tue Feb 23 22:01:13 2016","","East of Eden","Feature Film","Elia Kazan","","8.0","115","1955","drama, romance","30635","1955-03-09","http://www.imdb.com/title/tt0048028/"
"133","tt0100873","Tue Feb 23 22:01:14 2016","Tue Feb 23 22:01:14 2016","","Vincent & Theo","Feature Film","Robert Altman","","7.1","138","1990","biography, drama","2798","1990-04-27","http://www.imdb.com/title/tt0100873/"
"134","tt0117791","Tue Feb 23 22:01:15 2016","Tue Feb 23 22:01:15 2016","","Surviving Picasso","Feature Film","James Ivory","","6.4","125","1996","biography, drama, romance","5794","1996-09-04","http://www.imdb.com/title/tt0117791/"
"135","tt0256084","Tue Feb 23 22:01:18 2016","Tue Feb 23 22:01:18 2016","","How Harry Became a Tree","Feature Film","Goran Paskaljevic","","6.8","99","2001","drama","673","2001-09-13","http://www.imdb.com/title/tt0256084/"
"136","tt0298046","Tue Feb 23 22:04:45 2016","Tue Feb 23 22:04:45 2016","","Monsieur René Magritte","Documentary","Adrian Maben","","7.5","50","1978","documentary","42","1978","http://www.imdb.com/title/tt0298046/"
"137","tt0042192","Tue Feb 23 22:04:48 2016","Tue Feb 23 22:04:48 2016","","All About Eve","Feature Film","Joseph L. Mankiewicz","","8.3","138","1950","drama","83313","1950-10-13","http://www.imdb.com/title/tt0042192/"
"138","tt0048605","Tue Feb 23 22:04:53 2016","Tue Feb 23 22:04:53 2016","","The Seven Year Itch","Feature Film","Billy Wilder","","7.2","105","1955","comedy, romance","25587","1955-06-03","http://www.imdb.com/title/tt0048605/"
"139","tt0071877","Tue Feb 23 22:04:56 2016","Tue Feb 23 22:04:56 2016","","Murder on the Orient Express","Feature Film","Sidney Lumet","","7.3","128","1974","crime, drama, mystery","36492","1974-11-21","http://www.imdb.com/title/tt0071877/"
"140","tt0057427","Tue Feb 23 22:04:58 2016","Tue Feb 23 22:04:58 2016","","Le procès","Feature Film","Orson Welles","","7.9","119","1962","drama, mystery, thriller","13822","1962-12-21","http://www.imdb.com/title/tt0057427/"
"141","tt0417871","Tue Feb 23 22:05:00 2016","Tue Feb 23 22:05:00 2016","","Klimt","Feature Film","Raúl Ruiz","","5.1","131","2006","biography, drama","2337","2006-01-28","http://www.imdb.com/title/tt0417871/"
"142","tt0183659","Tue Feb 23 22:05:02 2016","Tue Feb 23 22:05:02 2016","","Pollock","Feature Film","Ed Harris","","7.0","122","2000","biography, drama","23075","2000-09-06","http://www.imdb.com/title/tt0183659/"
"143","tt0367188","Tue Feb 23 22:05:03 2016","Tue Feb 23 22:05:03 2016","","Modigliani","Feature Film","Mick Davis","","7.4","128","2004","biography, drama","8384","2004-09-16","http://www.imdb.com/title/tt0367188/"
"144","tt0080073","Tue Feb 23 22:05:05 2016","Tue Feb 23 22:05:05 2016","","V moey smerti proshu vinit Klavu K.","Feature Film","Nikolay Lebedev, Ernest Yasan","","7.3","76","1979","drama, romance","188","1979","http://www.imdb.com/title/tt0080073/"
"145","tt0068646","Tue Feb 23 22:05:07 2016","Tue Feb 23 22:05:07 2016","","The Godfather","Feature Film","Francis Ford Coppola","","9.2","175","1972","crime, drama","1160118","1972-03-14","http://www.imdb.com/title/tt0068646/"
"146","tt0103772","Tue Feb 23 22:05:18 2016","Tue Feb 23 22:05:18 2016","","Basic Instinct","Feature Film","Paul Verhoeven","","6.9","127","1992","drama, mystery, romance, thriller","134146","1992-03-20","http://www.imdb.com/title/tt0103772/"
"147","tt0092879","Tue Feb 23 22:05:20 2016","Tue Feb 23 22:05:20 2016","","Desyat negrityat","Feature Film","Stanislav Govorukhin","","8.0","137","1987","crime, mystery","1536","1987","http://www.imdb.com/title/tt0092879/"
"148","tt0055601","Tue Feb 23 22:09:11 2016","Tue Feb 23 22:09:11 2016","","Viridiana","Feature Film","Luis Buñuel","","8.3","90","1961","comedy, drama","16241","1961-05-19","http://www.imdb.com/title/tt0055601/"
"149","tt0061395","Tue Feb 23 22:09:13 2016","Tue Feb 23 22:09:13 2016","","Belle de jour","Feature Film","Luis Bunuel","","7.8","101","1967","drama","29292","1967-05-24","http://www.imdb.com/title/tt0061395/"
"150","tt0059719","Tue Feb 23 22:09:14 2016","Tue Feb 23 22:09:14 2016","","Simón del desierto","Short Film","Luis Buñuel","","8.0","43","1965","comedy, drama, fantasy","6935","1965","http://www.imdb.com/title/tt0059719/"
"151","tt0071487","Tue Feb 23 22:09:16 2016","Tue Feb 23 22:09:16 2016","","Le fantôme de la liberté","Feature Film","Luis Buñuel","","8.0","104","1974","comedy","10359","1974-09-11","http://www.imdb.com/title/tt0071487/"
"152","tt0075824","Tue Feb 23 22:09:18 2016","Tue Feb 23 22:09:18 2016","","Cet obscur objet du désir","Feature Film","Luis Bunuel","","8.0","102","1977","comedy, drama","14840","1977-08-17","http://www.imdb.com/title/tt0075824/"
"153","tt0088635","Tue Feb 23 22:09:19 2016","Tue Feb 23 22:09:19 2016","","V poiskakh kapitana Granta","Mini-Series","Stanislav Govorukhin","","8.3","455","1986","adventure","581","1986-03-13","http://www.imdb.com/title/tt0088635/"
"154","tt0070460","Tue Feb 23 22:09:21 2016","Tue Feb 23 22:09:21 2016","","La nuit américaine","Feature Film","François Truffaut","","8.1","115","1973","comedy, drama, romance","14553","1973-05-14","http://www.imdb.com/title/tt0070460/"
"155","tt0068361","Tue Feb 23 22:09:23 2016","Tue Feb 23 22:09:23 2016","","Le charme discret de la bourgeoisie","Feature Film","Luis Bunuel","","8.0","102","1972","comedy, drama, fantasy","27257","1972-09-15","http://www.imdb.com/title/tt0068361/"
"156","tt0054632","Tue Feb 23 22:09:24 2016","Tue Feb 23 22:09:24 2016","","L'année dernière à Marienbad","Feature Film","Alain Resnais","","7.9","94","1961","drama, mystery","14308","1961-06-25","http://www.imdb.com/title/tt0054632/"
"157","tt0256009","Tue Feb 23 22:09:25 2016","Tue Feb 23 22:09:25 2016","","El espinazo del diablo","Feature Film","Guillermo del Toro","","7.5","106","2001","drama, fantasy, horror","48020","2001-04-20","http://www.imdb.com/title/tt0256009/"
"158","tt0053964","Tue Feb 23 22:09:27 2016","Tue Feb 23 22:09:27 2016","","Les jeux de l'amour","Feature Film","Philippe de Broca","","7.3","86","1960","comedy","58","1960-06-01","http://www.imdb.com/title/tt0053964/"
"159","tt0066989","Tue Feb 23 22:09:28 2016","Tue Feb 23 22:09:28 2016","","Les deux Anglaises et le continent","Feature Film","François Truffaut","","7.5","130","1971","romance, drama","3573","1971-11-18","http://www.imdb.com/title/tt0066989/"
"160","tt0401711","Tue Feb 23 22:09:30 2016","Tue Feb 23 22:09:30 2016","","Paris, je t'aime","Feature Film","Olivier Assayas, Frédéric Auburtin","","7.3","120","2006","comedy, drama, romance","63174","2006-05-18","http://www.imdb.com/title/tt0401711/"
"161","tt0825232","Tue Feb 23 22:11:40 2016","Tue Feb 23 22:11:40 2016","","The Bucket List","Feature Film","Rob Reiner","","7.4","97","2007","adventure, comedy, drama","185331","2007-12-16","http://www.imdb.com/title/tt0825232/"
"162","tt0477348","Tue Feb 23 22:11:44 2016","Tue Feb 23 22:11:44 2016","","No Country for Old Men","Feature Film","Ethan Coen, Joel Coen","","8.1","122","2007","crime, drama, thriller","615526","2007-05-19","http://www.imdb.com/title/tt0477348/"
"163","tt1164999","Tue Feb 23 22:11:46 2016","Tue Feb 23 22:11:46 2016","","Biutiful","Feature Film","Alejandro González Iñárritu","","7.5","148","2010","drama, romance","69117","2010-05-17","http://www.imdb.com/title/tt1164999/"
"164","tt0366627","Tue Feb 23 22:11:49 2016","Tue Feb 23 22:11:49 2016","","The Jacket","Feature Film","John Maybury","","7.1","103","2005","drama, mystery, sci_fi, thriller","93098","2005-01-23","http://www.imdb.com/title/tt0366627/"
"165","tt2106476","Tue Feb 23 22:11:51 2016","Tue Feb 23 22:11:51 2016","","Jagten","Feature Film","Thomas Vinterberg","","8.3","115","2012","drama","171252","2012-05-20","http://www.imdb.com/title/tt2106476/"
"166","tt0376541","Tue Feb 23 22:11:52 2016","Tue Feb 23 22:11:52 2016","","Closer","Feature Film","Mike Nichols","","7.3","104","2004","drama, romance","168659","2004-11-22","http://www.imdb.com/title/tt0376541/"
"167","tt0765120","Tue Feb 23 22:11:53 2016","Tue Feb 23 22:11:53 2016","","My Blueberry Nights","Feature Film","Kar Wai Wong","","6.7","95","2007","drama, romance","44327","2007-05-16","http://www.imdb.com/title/tt0765120/"
"168","tt0344510","Tue Feb 23 22:11:56 2016","Tue Feb 23 22:11:56 2016","","Un long dimanche de fiançailles","Feature Film","Jean-Pierre Jeunet","","7.7","133","2004","drama, mystery, romance, war","62744","2004-10-27","http://www.imdb.com/title/tt0344510/"
"169","tt0058361","Tue Feb 23 22:17:16 2016","Tue Feb 23 22:17:16 2016","","Mne dvadtsat let","Feature Film","Marlen Khutsiev","","8.0","189","1965","drama","585","1965-01-18","http://www.imdb.com/title/tt0058361/"
"170","tt2402085","Tue Feb 23 22:27:47 2016","Tue Feb 23 22:27:47 2016","","Jimi: All Is by My Side","Feature Film","John Ridley","","5.6","118","2013","biography, drama, music","4017","2013-09-07","http://www.imdb.com/title/tt2402085/"
"171","tt1315981","Tue Feb 23 22:27:49 2016","Tue Feb 23 22:27:49 2016","","A Single Man","Feature Film","Tom Ford","","7.6","99","2009","drama, romance","83451","2009-09-11","http://www.imdb.com/title/tt1315981/"
"172","tt0062952","Tue Feb 23 22:27:52 2016","Tue Feb 23 22:27:52 2016","","Faces","Feature Film","John Cassavetes","","7.7","130","1968","drama","6801","1968-03","http://www.imdb.com/title/tt0062952/"
"173","tt0051983","Tue Feb 23 22:30:19 2016","Tue Feb 23 22:30:19 2016","","Nazarín","Feature Film","Luis Buñuel","","8.0","94","1959","drama","3669","1959-06-04","http://www.imdb.com/title/tt0051983/"
"174","tt0042804","Tue Feb 23 22:30:24 2016","Tue Feb 23 22:30:24 2016","","Los olvidados","Feature Film","Luis Buñuel","","8.3","85","1950","crime, drama","13420","1950-11-09","http://www.imdb.com/title/tt0042804/"
"175","tt0048434","Tue Feb 23 22:30:27 2016","Tue Feb 23 22:30:27 2016","","Nuit et brouillard","Documentary","Alain Resnais","","8.6","32","1956","documentary, history, war","12731","1956-01","http://www.imdb.com/title/tt0048434/"
"176","tt0108167","Tue Feb 23 22:30:37 2016","Tue Feb 23 22:30:37 2016","","Smoking/No Smoking","Feature Film","Alain Resnais","","7.6","298","1993","comedy","1410","1993-12-15","http://www.imdb.com/title/tt0108167/"
"177","tt4385026","Tue Feb 23 22:30:39 2016","Tue Feb 23 22:30:39 2016","","Providence","Feature Film","Sharon Wilharm","","7.7","79","2016","drama, romance","44","2016-02-12","http://www.imdb.com/title/tt4385026/"
"178","tt0076574","Tue Feb 23 22:30:41 2016","Tue Feb 23 22:30:41 2016","","Providence","Feature Film","Alain Resnais","","8.0","110","1977","drama","2300","1977-01-25","http://www.imdb.com/title/tt0076574/"
"179","tt0052893","Tue Feb 23 22:30:44 2016","Tue Feb 23 22:30:44 2016","","Hiroshima mon amour","Feature Film","Alain Resnais","","8.0","90","1959","drama, romance","19681","1959-05-08","http://www.imdb.com/title/tt0052893/"
"180","tt0081176","Tue Feb 23 22:30:46 2016","Tue Feb 23 22:30:46 2016","","Mon oncle d'Amérique","Feature Film","Alain Resnais","","8.0","125","1980","comedy, drama, romance","3411","1980-05-20","http://www.imdb.com/title/tt0081176/"
"181","tt2397619","Tue Feb 23 22:30:49 2016","Tue Feb 23 22:30:49 2016","","Woody Allen: A Documentary","Documentary","Robert B. Weide","","7.7","195","2012","documentary, biography","3907","2012-05-30","http://www.imdb.com/title/tt2397619/"
"182","tt0167896","Tue Feb 23 22:30:50 2016","Tue Feb 23 22:30:50 2016","","Dikaya sobaka Dingo","Feature Film","Yuli Karasik","","7.8","97","1962","drama, romance","81","1962","http://www.imdb.com/title/tt0167896/"
"183","tt0323703","Tue Feb 23 22:30:54 2016","Tue Feb 23 22:30:54 2016","","Priklyucheniya Petrova i Vasechkina, obyknovennye i neveroyatnye","TV Movie","Vladimir Alenikov","","8.0","","1983","comedy, family, musical","280","1983","http://www.imdb.com/title/tt0323703/"
"184","tt0097165","Tue Feb 23 22:30:57 2016","Tue Feb 23 22:30:57 2016","","Dead Poets Society","Feature Film","Peter Weir","","8.0","128","1989","comedy, drama","278463","1989-06-02","http://www.imdb.com/title/tt0097165/"
"185","tt0182789","Tue Feb 23 22:31:12 2016","Tue Feb 23 22:31:12 2016","","Bicentennial Man","Feature Film","Chris Columbus","","6.8","132","1999","comedy, drama, sci_fi","88123","1999-12-13","http://www.imdb.com/title/tt0182789/"
"186","tt0088847","Tue Feb 23 22:31:15 2016","Tue Feb 23 22:31:15 2016","","The Breakfast Club","Feature Film","John Hughes","","7.9","97","1985","comedy, drama","258159","1985-02-07","http://www.imdb.com/title/tt0088847/"
"187","tt0095953","Tue Feb 23 22:31:17 2016","Tue Feb 23 22:31:17 2016","","Rain Man","Feature Film","Barry Levinson","","8.0","133","1988","drama","384698","1988-12-12","http://www.imdb.com/title/tt0095953/"
"188","tt0104181","Tue Feb 23 22:31:53 2016","Tue Feb 23 22:31:53 2016","","Wuthering Heights","Feature Film","Peter Kosminsky","","6.9","105","1992","drama, history, romance","9677","1992-08-25","http://www.imdb.com/title/tt0104181/"
"189","tt0100168","Tue Feb 23 22:32:50 2016","Tue Feb 23 22:32:50 2016","","Mo' Better Blues","Feature Film","Spike Lee","","6.5","129","1990","drama, music, romance","8321","1990-08-03","http://www.imdb.com/title/tt0100168/"
"190","tt0077815","Tue Feb 23 22:37:49 2016","Tue Feb 23 22:37:49 2016","","Kogda ya stanu velikanom","Feature Film","Inna Tumanyan","","7.2","87","1979","romance","144","1979-08","http://www.imdb.com/title/tt0077815/"
"191","tt0086462","Tue Feb 23 22:37:52 2016","Tue Feb 23 22:37:52 2016","","Patsany","Feature Film","Dinara Asanova","","7.4","96","1983","crime, drama","188","1983-09","http://www.imdb.com/title/tt0086462/"
"192","tt0162222","Tue Feb 23 22:37:57 2016","Tue Feb 23 22:37:57 2016","","Cast Away","Feature Film","Robert Zemeckis","","7.7","143","2000","adventure, drama, romance","395729","2000-12-07","http://www.imdb.com/title/tt0162222/"
"193","tt1979320","Tue Feb 23 22:38:06 2016","Tue Feb 23 22:38:06 2016","","Rush","Feature Film","Ron Howard","","8.1","123","2013","action, biography, drama, sport","314191","2013-09-02","http://www.imdb.com/title/tt1979320/"
"194","tt0074291","Tue Feb 23 22:38:10 2016","Tue Feb 23 22:38:10 2016","","Il Casanova di Federico Fellini","Feature Film","Federico Fellini","","7.1","155","1976","biography, drama, history, romance","5093","1976-12-07","http://www.imdb.com/title/tt0074291/"
"195","tt0053779","Tue Feb 23 22:38:22 2016","Tue Feb 23 22:38:22 2016","","La dolce vita","Feature Film","Federico Fellini","","8.1","174","1960","comedy, drama","49296","1960-02-03","http://www.imdb.com/title/tt0053779/"
"196","tt0050783","Tue Feb 23 22:38:25 2016","Tue Feb 23 22:38:25 2016","","Le notti di Cabiria","Feature Film","Federico Fellini","","8.2","110","1957","drama","26134","1957-05-10","http://www.imdb.com/title/tt0050783/"
"197","tt0098606","Tue Feb 23 22:38:29 2016","Tue Feb 23 22:38:29 2016","","La voce della luna","Feature Film","Federico Fellini","","6.4","122","1990","comedy, drama","1602","1990-01-31","http://www.imdb.com/title/tt0098606/"
"198","tt0070359","Tue Feb 23 22:38:36 2016","Tue Feb 23 22:38:36 2016","","La maman et la putain","Feature Film","Jean Eustache","","8.2","217","1973","drama, romance","3508","1973-05-17","http://www.imdb.com/title/tt0070359/"
"199","tt0062907","Tue Feb 23 22:42:35 2016","Tue Feb 23 22:42:35 2016","","Dozhivem do ponedelnika","Feature Film","Stanislav Rostotskiy","","8.1","106","1968","drama, romance","691","1968-10-28","http://www.imdb.com/title/tt0062907/"
"200","tt0147806","Tue Feb 23 22:42:39 2016","Tue Feb 23 22:42:39 2016","","A esli eto lyubov?","Feature Film","Yuli Raizman","","7.3","102","1962","drama","134","1962-03-19","http://www.imdb.com/title/tt0147806/"
"201","tt0075155","Tue Feb 23 22:42:47 2016","Tue Feb 23 22:42:47 2016","","Rozygrysh","Feature Film","Vladimir Menshov","","7.3","96","1977","romance","190","1977-01-10","http://www.imdb.com/title/tt0075155/"
"202","tt1082868","Tue Feb 23 22:42:55 2016","Tue Feb 23 22:42:55 2016","","Quarantine","Feature Film","John Erick Dowdle","","6.0","89","2008","horror, sci_fi, thriller","57572","2008-10-10","http://www.imdb.com/title/tt1082868/"
"203","tt0070544","Tue Feb 23 22:43:03 2016","Tue Feb 23 22:43:03 2016","","La planète sauvage","Feature Film","René Laloux","","7.8","72","1973","animation, drama, sci_fi","13412","1973-05","http://www.imdb.com/title/tt0070544/"
"204","tt0095525","Tue Feb 23 22:43:05 2016","Tue Feb 23 22:43:05 2016","","Gandahar","Feature Film","René Laloux","","7.1","78","1988","adventure, sci_fi, animation, fantasy","2763","1988-01-28","http://www.imdb.com/title/tt0095525/"
"205","tt0084315","Tue Feb 23 22:43:07 2016","Tue Feb 23 22:43:07 2016","","Les maîtres du temps","Feature Film","René Laloux","","7.5","78","1982","animation, adventure, sci_fi","3790","1982-03-24","http://www.imdb.com/title/tt0084315/"
"206","tt0259499","Tue Feb 23 22:43:09 2016","Tue Feb 23 22:43:09 2016","","Pereval","Short Film","Vladimir Tarasov","","7.3","31","1988","animation, sci_fi","186","1988","http://www.imdb.com/title/tt0259499/"
"207","tt0244807","Tue Feb 23 22:43:10 2016","Tue Feb 23 22:43:10 2016","","Soul to Soul","Documentary","Denis Sanders","","8.2","96","1971","documentary, music","53","1971-08-18","http://www.imdb.com/title/tt0244807/"
"208","tt0212720","Tue Feb 23 22:43:15 2016","Tue Feb 23 22:43:15 2016","","Artificial Intelligence: AI","Feature Film","Steven Spielberg","","7.1","146","2001","adventure, drama, sci_fi","239388","2001-06-26","http://www.imdb.com/title/tt0212720/"
"209","tt0060176","Tue Feb 23 22:43:25 2016","Tue Feb 23 22:43:25 2016","","Blowup","Feature Film","Michelangelo Antonioni","","7.7","111","1966","crime, drama, mystery, thriller","41272","1966-12-18","http://www.imdb.com/title/tt0060176/"
"210","tt0054130","Tue Feb 23 22:43:31 2016","Tue Feb 23 22:43:31 2016","","La notte","Feature Film","Michelangelo Antonioni","","8.0","115","1961","drama","11387","1961-01-24","http://www.imdb.com/title/tt0054130/"
"211","tt0056736","Tue Feb 23 22:43:34 2016","Tue Feb 23 22:43:34 2016","","L'eclisse","Feature Film","Michelangelo Antonioni","","7.9","126","1962","drama, romance","11667","1962-03","http://www.imdb.com/title/tt0056736/"
"212","tt0058003","Tue Feb 23 22:43:37 2016","Tue Feb 23 22:43:37 2016","","Il deserto rosso","Feature Film","Michelangelo Antonioni","","7.7","117","1964","drama","9151","1964-09-07","http://www.imdb.com/title/tt0058003/"
"213","tt0067277","Tue Feb 23 22:43:43 2016","Tue Feb 23 22:43:43 2016","","Johnny Got His Gun","Feature Film","Dalton Trumbo","","7.9","111","1971","drama, war","11903","1971-05-14","http://www.imdb.com/title/tt0067277/"
"214","tt0460740","Tue Feb 23 22:44:47 2016","Tue Feb 23 22:44:47 2016","","Cashback","Feature Film","Sean Ellis","","7.2","102","2006","comedy, drama, romance","72814","2006-09-10","http://www.imdb.com/title/tt0460740/"
"215","tt0347976","Tue Feb 23 22:44:55 2016","Tue Feb 23 22:44:55 2016","","Sergey Lazo","Feature Film","Aleksandr Gordon","","7.4","89","1968","drama","32","1968","http://www.imdb.com/title/tt0347976/"
"216","tt0480669","Tue Feb 23 23:04:45 2016","Tue Feb 23 23:04:45 2016","","Los cronocrímenes","Feature Film","Nacho Vigalondo","","7.2","92","2007","horror, mystery, sci_fi, thriller","41120","2007-09-20","http://www.imdb.com/title/tt0480669/"
"217","tt1385826","Tue Feb 23 23:04:53 2016","Tue Feb 23 23:04:53 2016","","The Adjustment Bureau","Feature Film","George Nolfi","","7.1","106","2011","romance, sci_fi, thriller","200608","2011-02-26","http://www.imdb.com/title/tt1385826/"
"218","tt1549572","Tue Feb 23 23:04:55 2016","Tue Feb 23 23:04:55 2016","","Another Earth","Feature Film","Mike Cahill","","7.0","92","2011","drama, romance, sci_fi","71690","2011-01-24","http://www.imdb.com/title/tt1549572/"
"219","tt1191111","Tue Feb 23 23:04:56 2016","Tue Feb 23 23:04:56 2016","","Enter the Void","Feature Film","Gaspar Noé","","7.3","161","2009","drama, fantasy","45714","2009-05-22","http://www.imdb.com/title/tt1191111/"
"220","tt2582496","Tue Feb 23 23:05:02 2016","Tue Feb 23 23:05:02 2016","","Me and Earl and the Dying Girl","Feature Film","Alfonso Gomez-Rejon","","7.8","105","2015","comedy, drama","78327","2015-01-25","http://www.imdb.com/title/tt2582496/"
"221","tt0204736","Tue Feb 23 23:05:05 2016","Tue Feb 23 23:05:05 2016","","Wege in die Nacht","Feature Film","Andreas Kleinert","","7.2","98","1999","thriller, drama","156","1999-05","http://www.imdb.com/title/tt0204736/"
"222","tt0118929","Tue Feb 23 23:05:17 2016","Tue Feb 23 23:05:17 2016","","Dark City","Feature Film","Alex Proyas","","7.7","100","1998","action, drama, fantasy, mystery, sci_fi, thriller","157316","1998-02-27","http://www.imdb.com/title/tt0118929/"
"223","tt1187064","Tue Feb 23 23:05:26 2016","Tue Feb 23 23:05:26 2016","","Triangle","Feature Film","Christopher Smith","","6.9","99","2009","fantasy, mystery, thriller","64874","2009-08-27","http://www.imdb.com/title/tt1187064/"
"224","tt0053619","Tue Feb 23 23:06:39 2016","Tue Feb 23 23:06:39 2016","","L'avventura","Feature Film","Michelangelo Antonioni","","8.0","143","1960","drama, mystery","18034","1960-05-15","http://www.imdb.com/title/tt0053619/"
"225","tt0105695","Tue Feb 23 23:06:43 2016","Tue Feb 23 23:06:43 2016","","Unforgiven","Feature Film","Clint Eastwood","","8.3","131","1992","drama, western","278510","1992-08-03","http://www.imdb.com/title/tt0105695/"
"226","tt0084088","Tue Feb 23 23:06:45 2016","Tue Feb 23 23:06:45 2016","","Honkytonk Man","Feature Film","Clint Eastwood","","6.6","122","1982","comedy, drama, music, western","6108","1982-12-15","http://www.imdb.com/title/tt0084088/"
"227","tt0111438","Tue Feb 23 23:06:46 2016","Tue Feb 23 23:06:46 2016","","Timecop","Feature Film","Peter Hyams","","5.8","99","1994","action, crime, sci_fi, thriller","44550","1994-09-16","http://www.imdb.com/title/tt0111438/"
"228","tt0021749","Tue Feb 23 23:10:52 2016","Tue Feb 23 23:10:52 2016","","City Lights","Feature Film","Charles Chaplin","","8.6","87","1931","comedy, drama, romance","108737","1931-01-30","http://www.imdb.com/title/tt0021749/"
"229","tt0050986","Tue Feb 23 23:10:54 2016","Tue Feb 23 23:10:54 2016","","Smultronstället","Feature Film","Ingmar Bergman","","8.2","91","1957","drama, romance","63399","1957-12-26","http://www.imdb.com/title/tt0050986/"
"230","tt2591814","Tue Feb 23 23:11:01 2016","Tue Feb 23 23:11:01 2016","","Koto no ha no niwa","Feature Film","Makoto Shinkai","","7.6","46","2013","animation, drama, romance","8774","2013-05-31","http://www.imdb.com/title/tt2591814/"
"231","tt0058625","Tue Feb 23 23:11:03 2016","Tue Feb 23 23:11:03 2016","","Suna no onna","Feature Film","Hiroshi Teshigahara","","8.5","123","1964","drama, thriller","11305","1964-02-15","http://www.imdb.com/title/tt0058625/"
"232","tt0061996","Tue Feb 23 23:11:04 2016","Tue Feb 23 23:11:04 2016","","Mouchette","Feature Film","Robert Bresson","","7.8","78","1967","drama","7057","1967-03-14","http://www.imdb.com/title/tt0061996/"
"233","tt0060827","Tue Feb 23 23:11:06 2016","Tue Feb 23 23:11:06 2016","","Persona","Feature Film","Ingmar Bergman","","8.1","85","1966","drama, thriller","61997","1966-10-18","http://www.imdb.com/title/tt0060827/"
